文件名,参数类型,参数值,行业基准,数值偏离度,共识度(Lift),判定状态,诊断理由
中国科学院昆明植物研究所GPU服务器采购项目公开招标技术需求.docx,CPU,64,24,166.67%,1.75,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
中国科学院昆明植物研究所GPU服务器采购项目公开招标技术需求.docx,内存,80,64,25.00%,0.19,控标态,"缺乏行业共识(Lift=0.19<0.7), 疑似排他性参数"
中国科学院昆明植物研究所GPU服务器采购项目公开招标技术需求.docx,硬盘,3098624,30720,9986.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
上海交通大学医学院附属第九人民医院高性能计算计算节点服务器.docx,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
上海交通大学医学院附属第九人民医院高性能计算计算节点服务器.docx,硬盘,4096,30720,-86.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-86.7% < -30%), 存在性能短板"
中国科学院计算技术研究所高性能计算服务器设备采购项目需求.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
中国科学院计算技术研究所高性能计算服务器设备采购项目需求.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
中国科学院计算技术研究所高性能计算服务器设备采购项目需求.docx,硬盘,972800,30720,3066.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
上海市第六人民医院安徽医院DMZ服务器存储采购.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
上海市第六人民医院安徽医院DMZ服务器存储采购.docx,内存,40,64,-37.50%,1.13,瓶颈态,"虽为主流技术, 但配置不足(-37.5% < -30%), 存在性能短板"
上海市第六人民医院安徽医院DMZ服务器存储采购.docx,硬盘,81920,30720,166.67%,3.59,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
北京师范大学智能计算服务器采购需求.docx,CPU,48,24,100.00%,2.18,冗余态,"虽为主流技术, 但超出宽限阈值(+100.0% > +30%), 存在效能溢出"
北京师范大学智能计算服务器采购需求.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
北京师范大学智能计算服务器采购需求.docx,硬盘,68608,30720,123.33%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
北京邮电大学高性能计算服务器采购项目公开招标公告.docx,CPU,48,24,100.00%,2.18,冗余态,"虽为主流技术, 但超出宽限阈值(+100.0% > +30%), 存在效能溢出"
北京邮电大学高性能计算服务器采购项目公开招标公告.docx,内存,900,64,1306.25%,0.19,控标态,"缺乏行业共识(Lift=0.19<0.7), 疑似排他性参数"
北京邮电大学高性能计算服务器采购项目公开招标公告.docx,硬盘,30720000,30720,99900.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
南京市临床大数据平台深度学习服务器采购公告.docx,CPU,128,24,433.33%,0.44,控标态,"缺乏行业共识(Lift=0.44<0.7), 疑似排他性参数"
南京市临床大数据平台深度学习服务器采购公告.docx,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
南京市临床大数据平台深度学习服务器采购公告.docx,硬盘,1638400,30720,5233.33%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
南京鼓楼医院GPU服务器采购公告.docx,CPU,48,24,100.00%,2.18,冗余态,"虽为主流技术, 但超出宽限阈值(+100.0% > +30%), 存在效能溢出"
南京鼓楼医院GPU服务器采购公告.docx,内存,200,64,212.50%,0.56,控标态,"缺乏行业共识(Lift=0.56<0.7), 疑似排他性参数"
南京鼓楼医院GPU服务器采购公告.docx,硬盘,3932,30720,-87.20%,1.8,瓶颈态,"虽为主流技术, 但配置不足(-87.2% < -30%), 存在性能短板"
中山大学附属第三医院肇庆医院二期建设项目服务器集群建设项目（一期）招标文件（2025022103）.docx,CPU,11,24,-54.17%,0.22,瓶颈态,"非主流低配(Lift=0.22), 且显著低于基准(-54.2%)"
中山大学附属第三医院肇庆医院二期建设项目服务器集群建设项目（一期）招标文件（2025022103）.docx,内存,40,64,-37.50%,1.13,瓶颈态,"虽为主流技术, 但配置不足(-37.5% < -30%), 存在性能短板"
中山大学附属第三医院肇庆医院二期建设项目服务器集群建设项目（一期）招标文件（2025022103）.docx,硬盘,8192,30720,-73.33%,3.59,瓶颈态,"虽为主流技术, 但配置不足(-73.3% < -30%), 存在性能短板"
南医大二附院超融合服务器采购文件.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
南医大二附院超融合服务器采购文件.docx,内存,40,64,-37.50%,1.13,瓶颈态,"虽为主流技术, 但配置不足(-37.5% < -30%), 存在性能短板"
南医大二附院超融合服务器采购文件.docx,硬盘,12288,30720,-60.00%,1.8,瓶颈态,"虽为主流技术, 但配置不足(-60.0% < -30%), 存在性能短板"
云南省保山市第二人民医院AI服务器采购.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
云南省保山市第二人民医院AI服务器采购.docx,硬盘,204800,30720,566.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
南通市公积金管理中心2025年度小型机服务器、存储设备、网络设备等硬件维保采购项目采购公告.docx,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
南通市公积金管理中心2025年度小型机服务器、存储设备、网络设备等硬件维保采购项目采购公告.docx,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
南通市公积金管理中心2025年度小型机服务器、存储设备、网络设备等硬件维保采购项目采购公告.docx,硬盘,6144,30720,-80.00%,1.8,瓶颈态,"虽为主流技术, 但配置不足(-80.0% < -30%), 存在性能短板"
丽水市中心医院服务器采购项目.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
丽水市中心医院服务器采购项目.docx,内存,100,64,56.25%,0.56,控标态,"缺乏行业共识(Lift=0.56<0.7), 疑似排他性参数"
丽水市中心医院服务器采购项目.docx,硬盘,7864,30720,-74.40%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-74.4% < -30%), 存在性能短板"
厦门大学附属第一医院算力服务器采购项目.docx,CPU,4,24,-83.33%,1.97,瓶颈态,"虽为主流技术, 但配置不足(-83.3% < -30%), 存在性能短板"
厦门大学附属第一医院算力服务器采购项目.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
厦门大学附属第一医院算力服务器采购项目.docx,硬盘,112640,30720,266.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
国家儿童肿瘤监测平台呼吸系统恶性肿瘤专病库建设服务器采购项目招标采购需求.docx,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
国家儿童肿瘤监测平台呼吸系统恶性肿瘤专病库建设服务器采购项目招标采购需求.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
国家儿童肿瘤监测平台呼吸系统恶性肿瘤专病库建设服务器采购项目招标采购需求.docx,硬盘,1966,30720,-93.60%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-93.6%)"
大田总医院数据中心云计算服务器平台等扩容建设项目.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
大田总医院数据中心云计算服务器平台等扩容建设项目.docx,内存,1024,64,1500.00%,0.75,冗余态,"虽为主流技术, 但超出宽限阈值(+1500.0% > +30%), 存在效能溢出"
大田总医院数据中心云计算服务器平台等扩容建设项目.docx,硬盘,49152,30720,60.00%,1.2,冗余态,"虽为主流技术, 但超出宽限阈值(+60.0% > +30%), 存在效能溢出"
台州市第一人民医院新院区服务器采购项目的公开招标.docx,CPU,4,24,-83.33%,1.97,瓶颈态,"虽为主流技术, 但配置不足(-83.3% < -30%), 存在性能短板"
台州市第一人民医院新院区服务器采购项目的公开招标.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
台州市第一人民医院新院区服务器采购项目的公开招标.docx,硬盘,1920,30720,-93.75%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-93.8%)"
大理大学新商科人工智能教学科研一体化平台设备及深度学习服务器.docx,CPU,40,24,66.67%,0.22,控标态,"缺乏行业共识(Lift=0.22<0.7), 疑似排他性参数"
大理大学新商科人工智能教学科研一体化平台设备及深度学习服务器.docx,内存,320,64,400.00%,0.19,控标态,"缺乏行业共识(Lift=0.19<0.7), 疑似排他性参数"
大理大学新商科人工智能教学科研一体化平台设备及深度学习服务器.docx,硬盘,102400,30720,233.33%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
天津先进计算与关键软件（信创）海河.docx,内存,48,64,-25.00%,0.75,理想态,"符合行业主流, 数值在容忍区间内(-25.0%)"
天津先进计算与关键软件（信创）海河.docx,硬盘,317132,30720,932.33%,1.2,冗余态,"虽为主流技术, 但超出宽限阈值(+932.3% > +30%), 存在效能溢出"
北京市人工影响天气中心2025年算力资源扩展服务器采购项目采购需求.docx,CPU,64,24,166.67%,1.75,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
北京市人工影响天气中心2025年算力资源扩展服务器采购项目采购需求.docx,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
北京市人工影响天气中心2025年算力资源扩展服务器采购项目采购需求.docx,硬盘,286720,30720,833.33%,2.39,冗余态,"虽为主流技术, 但超出宽限阈值(+833.3% > +30%), 存在效能溢出"
台州恩泽医疗中心（集团）超融合服务器采购.docx,CPU,102,24,325.00%,0.22,控标态,"缺乏行业共识(Lift=0.22<0.7), 疑似排他性参数"
台州恩泽医疗中心（集团）超融合服务器采购.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
台州恩泽医疗中心（集团）超融合服务器采购.docx,硬盘,16384,30720,-46.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-46.7% < -30%), 存在性能短板"
太原铁路公安局-刑侦信息系统服务器维保项目.docx,CPU,6,24,-75.00%,0.87,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
宁德师范学院附属宁德市医院信创超融合服务器项目磋商文件（[350901]RI[CS]202500120251112002）.docx,内存,40,64,-37.50%,1.13,瓶颈态,"虽为主流技术, 但配置不足(-37.5% < -30%), 存在性能短板"
宁德师范学院附属宁德市医院信创超融合服务器项目磋商文件（[350901]RI[CS]202500120251112002）.docx,硬盘,26214,30720,-14.67%,1.2,理想态,"符合行业主流, 数值在容忍区间内(-14.7%)"
宁波市公安局奉化分局通用服务器采购项目的公开招标公告.docx,CPU,64,24,166.67%,1.75,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
宁波市公安局奉化分局通用服务器采购项目的公开招标公告.docx,内存,512,64,700.00%,1.88,冗余态,"虽为主流技术, 但超出宽限阈值(+700.0% > +30%), 存在效能溢出"
宁波市公安局奉化分局通用服务器采购项目的公开招标公告.docx,硬盘,8192,30720,-73.33%,3.59,瓶颈态,"虽为主流技术, 但配置不足(-73.3% < -30%), 存在性能短板"
宁波大学附属妇女儿童医院信创超融合服务器采购项目.docx,CPU,48,24,100.00%,2.18,冗余态,"虽为主流技术, 但超出宽限阈值(+100.0% > +30%), 存在效能溢出"
宁波大学附属妇女儿童医院信创超融合服务器采购项目.docx,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
宁波大学附属妇女儿童医院信创超融合服务器采购项目.docx,硬盘,2025087,30720,6492.08%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
天津市滨海新区海滨人民医院采购HIS数据库服务器.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
天津市滨海新区海滨人民医院采购HIS数据库服务器.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
天津市滨海新区海滨人民医院采购HIS数据库服务器.docx,硬盘,10240,30720,-66.67%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
安徽省儿童医院服务器和存储采购项目公开招标公告.docx,CPU,128,24,433.33%,0.44,控标态,"缺乏行业共识(Lift=0.44<0.7), 疑似排他性参数"
安徽省儿童医院服务器和存储采购项目公开招标公告.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
安徽省儿童医院服务器和存储采购项目公开招标公告.docx,硬盘,819200,30720,2566.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
宜宾市公安局翠屏区分局执法办案管理中心网络视频存储服务器采购项目竞争性谈判.docx,CPU,4,24,-83.33%,1.97,瓶颈态,"虽为主流技术, 但配置不足(-83.3% < -30%), 存在性能短板"
宜宾市公安局翠屏区分局执法办案管理中心网络视频存储服务器采购项目竞争性谈判.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
宜宾市公安局翠屏区分局执法办案管理中心网络视频存储服务器采购项目竞争性谈判.docx,硬盘,30720,30720,0.00%,1.2,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
山西大学大同校区GPU服务器采购项目询价文件.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
山西大学大同校区GPU服务器采购项目询价文件.docx,内存,512,64,700.00%,1.88,冗余态,"虽为主流技术, 但超出宽限阈值(+700.0% > +30%), 存在效能溢出"
山西大学大同校区GPU服务器采购项目询价文件.docx,硬盘,7864,30720,-74.40%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-74.4% < -30%), 存在性能短板"
宁波市初中学业水平考试标准化考点建设服务器采购项目的公开招标公告.docx,CPU,48,24,100.00%,2.18,冗余态,"虽为主流技术, 但超出宽限阈值(+100.0% > +30%), 存在效能溢出"
宁波市初中学业水平考试标准化考点建设服务器采购项目的公开招标公告.docx,内存,960,64,1400.00%,1.69,冗余态,"虽为主流技术, 但超出宽限阈值(+1400.0% > +30%), 存在效能溢出"
宁波市初中学业水平考试标准化考点建设服务器采购项目的公开招标公告.docx,硬盘,4096,30720,-86.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-86.7% < -30%), 存在性能短板"
德阳经济技术开发区人民医院信息系统服务器及设备.docx,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
德阳经济技术开发区人民医院信息系统服务器及设备.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
德阳经济技术开发区人民医院信息系统服务器及设备.docx,硬盘,81920,30720,166.67%,3.59,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
广西壮族自治区水文中心服务器设备采购.docx,CPU,18,24,-25.00%,0.44,控标态,"缺乏行业共识(Lift=0.44<0.7), 疑似排他性参数"
广西壮族自治区水文中心服务器设备采购.docx,内存,100,64,56.25%,0.56,控标态,"缺乏行业共识(Lift=0.56<0.7), 疑似排他性参数"
广西壮族自治区水文中心服务器设备采购.docx,硬盘,16384,30720,-46.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-46.7% < -30%), 存在性能短板"
宿迁市全市110接报警系统升级项目-服务器采购采购公告.docx,CPU,4,24,-83.33%,1.97,瓶颈态,"虽为主流技术, 但配置不足(-83.3% < -30%), 存在性能短板"
宿迁市全市110接报警系统升级项目-服务器采购采购公告.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
宿迁市全市110接报警系统升级项目-服务器采购采购公告.docx,硬盘,16384,30720,-46.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-46.7% < -30%), 存在性能短板"
天津市公路事业发展服务中心服务器及基础软件项目公开招标公告.docx,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
天津市公路事业发展服务中心服务器及基础软件项目公开招标公告.docx,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
天津市公路事业发展服务中心服务器及基础软件项目公开招标公告.docx,硬盘,4096,30720,-86.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-86.7% < -30%), 存在性能短板"
昆明市延安医院“城市医疗集团综合数据赋能平台(服务器)采购”项目(二次)招标公告.docx,CPU,64,24,166.67%,1.75,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
昆明市延安医院“城市医疗集团综合数据赋能平台(服务器)采购”项目(二次)招标公告.docx,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
昆明市延安医院“城市医疗集团综合数据赋能平台(服务器)采购”项目(二次)招标公告.docx,硬盘,2048,30720,-93.33%,2.39,瓶颈态,"虽为主流技术, 但配置不足(-93.3% < -30%), 存在性能短板"
慈溪市人民法院超融合服务器采购的公开招标公告.docx,内存,256,64,300.00%,1.13,冗余态,"虽为主流技术, 但超出宽限阈值(+300.0% > +30%), 存在效能溢出"
慈溪市人民法院超融合服务器采购的公开招标公告.docx,硬盘,13107,30720,-57.33%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-57.3%)"
昆明医科大学公共卫生学院专业建设服务器采购.docx,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
昆明医科大学公共卫生学院专业建设服务器采购.docx,内存,480,64,650.00%,1.32,冗余态,"虽为主流技术, 但超出宽限阈值(+650.0% > +30%), 存在效能溢出"
昆明医科大学公共卫生学院专业建设服务器采购.docx,硬盘,16384,30720,-46.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-46.7% < -30%), 存在性能短板"
昭通市公安局服务器采购.docx,CPU,24,24,0.00%,1.97,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
昭通市公安局服务器采购.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
昭通市公安局服务器采购.docx,硬盘,4096,30720,-86.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-86.7% < -30%), 存在性能短板"
天津市财政局服务器及操作系统项目.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
天津市财政局服务器及操作系统项目.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
天津市财政局服务器及操作系统项目.docx,硬盘,12288,30720,-60.00%,1.8,瓶颈态,"虽为主流技术, 但配置不足(-60.0% < -30%), 存在性能短板"
汉中市公安局执法音视频统一管理平台服务器采购.docx,CPU,24,24,0.00%,1.97,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
汉中市公安局执法音视频统一管理平台服务器采购.docx,内存,480,64,650.00%,1.32,冗余态,"虽为主流技术, 但超出宽限阈值(+650.0% > +30%), 存在效能溢出"
汉中市公安局执法音视频统一管理平台服务器采购.docx,硬盘,307200,30720,900.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
宁波国际仲裁院服务器及相关配套软件采购项目的公开招标.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
宁波国际仲裁院服务器及相关配套软件采购项目的公开招标.docx,内存,2048,64,3100.00%,0.19,控标态,"缺乏行业共识(Lift=0.19<0.7), 疑似排他性参数"
宁波国际仲裁院服务器及相关配套软件采购项目的公开招标.docx,硬盘,2025011,30720,6491.83%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
来宾市政务服务和大数据发展局计算机、服务器、基础软件等设备采购.docx,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
来宾市政务服务和大数据发展局计算机、服务器、基础软件等设备采购.docx,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
来宾市政务服务和大数据发展局计算机、服务器、基础软件等设备采购.docx,硬盘,143360,30720,366.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
抚松县公安局交通管理大队 数据库服务器升级改造项目的竞争性谈判公告.docx,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
抚松县公安局交通管理大队 数据库服务器升级改造项目的竞争性谈判公告.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
抚松县公安局交通管理大队 数据库服务器升级改造项目的竞争性谈判公告.docx,硬盘,1228,30720,-96.00%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-96.0% < -30%), 存在性能短板"
江苏省淮安市人民检察院超融合服务器采购采购公告.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
江苏省淮安市人民检察院超融合服务器采购采购公告.docx,内存,512,64,700.00%,1.88,冗余态,"虽为主流技术, 但超出宽限阈值(+700.0% > +30%), 存在效能溢出"
江苏省淮安市人民检察院超融合服务器采购采购公告.docx,硬盘,81920,30720,166.67%,3.59,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
