文件名,参数类型,参数值,行业基准,数值偏离度,共识度(Lift),判定状态,诊断理由
泉州市妇幼保健院超融合服务器采购项目(二次)招标文件（[350501]QZSCGZX[GK]2025024-120251022001）.docx,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
泉州市妇幼保健院超融合服务器采购项目(二次)招标文件（[350501]QZSCGZX[GK]2025024-120251022001）.docx,内存,960,64,1400.00%,1.69,冗余态,"虽为主流技术, 但超出宽限阈值(+1400.0% > +30%), 存在效能溢出"
泉州市妇幼保健院超融合服务器采购项目(二次)招标文件（[350501]QZSCGZX[GK]2025024-120251022001）.docx,硬盘,15360,30720,-50.00%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-50.0%)"
泰州市人民医院存储、服务器及容灾系统升级扩容项目采购公告.docx,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
泰州市人民医院存储、服务器及容灾系统升级扩容项目采购公告.docx,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
泰州市人民医院存储、服务器及容灾系统升级扩容项目采购公告.docx,硬盘,24576,30720,-20.00%,1.2,理想态,"符合行业主流, 数值在容忍区间内(-20.0%)"
浙江药科职业大学智播平台服务器存储升级项目.docx,CPU,96,24,300.00%,0.66,控标态,"缺乏行业共识(Lift=0.66<0.7), 疑似排他性参数"
浙江药科职业大学智播平台服务器存储升级项目.docx,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
浙江药科职业大学智播平台服务器存储升级项目.docx,硬盘,2025195,30720,6492.43%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
浦东新区精神卫生中心服务器采购需求.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
浦东新区精神卫生中心服务器采购需求.docx,硬盘,83968,30720,173.33%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
浙江省监狱管理局国产化服务器采购项目采购文件.docx,CPU,86,24,258.33%,0.22,控标态,"缺乏行业共识(Lift=0.22<0.7), 疑似排他性参数"
浙江省监狱管理局国产化服务器采购项目采购文件.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
浙江省监狱管理局国产化服务器采购项目采购文件.docx,硬盘,8192,30720,-73.33%,3.59,瓶颈态,"虽为主流技术, 但配置不足(-73.3% < -30%), 存在性能短板"
浙江工业大学大模型训练服务器项目采购文件.docx,CPU,57,24,137.50%,0.22,控标态,"缺乏行业共识(Lift=0.22<0.7), 疑似排他性参数"
浙江工业大学大模型训练服务器项目采购文件.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
浙江工业大学大模型训练服务器项目采购文件.docx,硬盘,1916928,30720,6140.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
淮安市人民检察院超融合服务器采购采购公告.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
淮安市人民检察院超融合服务器采购采购公告.docx,内存,512,64,700.00%,1.88,冗余态,"虽为主流技术, 但超出宽限阈值(+700.0% > +30%), 存在效能溢出"
淮安市人民检察院超融合服务器采购采购公告.docx,硬盘,81920,30720,166.67%,3.59,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
温州医科大学超融合服务器询价项目的询价公告.docx,CPU,6,24,-75.00%,0.87,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
温州医科大学超融合服务器询价项目的询价公告.docx,内存,480,64,650.00%,1.32,冗余态,"虽为主流技术, 但超出宽限阈值(+650.0% > +30%), 存在效能溢出"
温州医科大学超融合服务器询价项目的询价公告.docx,硬盘,40960,30720,33.33%,2.99,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
湖南建设投资集团成控系统配套服务器采购项目磋商文件.docx,CPU,64,24,166.67%,1.75,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
湖南建设投资集团成控系统配套服务器采购项目磋商文件.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
湖南建设投资集团成控系统配套服务器采购项目磋商文件.docx,硬盘,960,30720,-96.88%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-96.9% < -30%), 存在性能短板"
湖南建设投资集团财务数据库配套服务器采购项目竞争性磋商公告.docx,CPU,64,24,166.67%,1.75,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
湖南建设投资集团财务数据库配套服务器采购项目竞争性磋商公告.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
湖南建设投资集团财务数据库配套服务器采购项目竞争性磋商公告.docx,硬盘,30720,30720,0.00%,1.2,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
盐池县公安局视频云存储服务器采购项目采购需求.docx,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
盐池县公安局视频云存储服务器采购项目采购需求.docx,硬盘,2662400,30720,8566.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
温州市职业中等专业学校服务器询价项目的询价公告.docx,CPU,24,24,0.00%,1.97,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
温州市职业中等专业学校服务器询价项目的询价公告.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
温州市职业中等专业学校服务器询价项目的询价公告.docx,硬盘,90112,30720,193.33%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
滁州学院2023年综改试验区建设服务器等科研设备采购招标文件.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
滁州学院2023年综改试验区建设服务器等科研设备采购招标文件.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
滁州学院2023年综改试验区建设服务器等科研设备采购招标文件.docx,硬盘,317132,30720,932.33%,1.2,冗余态,"虽为主流技术, 但超出宽限阈值(+932.3% > +30%), 存在效能溢出"
福州大学服务器采购项目招标文件.docx,内存,960,64,1400.00%,1.69,冗余态,"虽为主流技术, 但超出宽限阈值(+1400.0% > +30%), 存在效能溢出"
福州大学服务器采购项目招标文件.docx,硬盘,16384,30720,-46.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-46.7% < -30%), 存在性能短板"
福州大学GPU算力服务器等采购项目招标文件（[350001]FJGGZY[GK]202504020250702001）.docx,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
福州大学GPU算力服务器等采购项目招标文件（[350001]FJGGZY[GK]202504020250702001）.docx,硬盘,51200,30720,66.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
福建中医药大学网信办刀片式服务器采购项目.docx,CPU,24,24,0.00%,1.97,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
福建中医药大学网信办刀片式服务器采购项目.docx,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
福建中医药大学网信办刀片式服务器采购项目.docx,硬盘,2048,30720,-93.33%,2.39,瓶颈态,"虽为主流技术, 但配置不足(-93.3% < -30%), 存在性能短板"
绵阳市中医医院算力服务器采购竞争性磋商.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
绵阳市中医医院算力服务器采购竞争性磋商.docx,内存,48,64,-25.00%,0.75,理想态,"符合行业主流, 数值在容忍区间内(-25.0%)"
绵阳市中医医院算力服务器采购竞争性磋商.docx,硬盘,122368,30720,298.33%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
紫金山实验室确定性实时控制环境搭建服务器采购公告.docx,CPU,48,24,100.00%,2.18,冗余态,"虽为主流技术, 但超出宽限阈值(+100.0% > +30%), 存在效能溢出"
紫金山实验室确定性实时控制环境搭建服务器采购公告.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
紫金山实验室确定性实时控制环境搭建服务器采购公告.docx,硬盘,573440,30720,1766.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
蚌埠市纪委监委网络存储服务器采购项目竞争性谈判项目采购需求.docx,CPU,5,24,-79.17%,0.44,瓶颈态,"非主流低配(Lift=0.44), 且显著低于基准(-79.2%)"
蚌埠市纪委监委网络存储服务器采购项目竞争性谈判项目采购需求.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
蚌埠市纪委监委网络存储服务器采购项目竞争性谈判项目采购需求.docx,硬盘,393216,30720,1180.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
苏州2025年园林景区售检票硬件设备部分升级改造项目（防火墙及服务器）采购公告.docx,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
苏州2025年园林景区售检票硬件设备部分升级改造项目（防火墙及服务器）采购公告.docx,内存,128,64,100.00%,0.38,控标态,"缺乏行业共识(Lift=0.38<0.7), 疑似排他性参数"
苏州2025年园林景区售检票硬件设备部分升级改造项目（防火墙及服务器）采购公告.docx,硬盘,600,30720,-98.05%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-98.0% < -30%), 存在性能短板"
苏州市第九人民医院信息中心服务器升级扩容.docx,CPU,6,24,-75.00%,0.87,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
苏州市第九人民医院信息中心服务器升级扩容.docx,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
苏州市第九人民医院信息中心服务器升级扩容.docx,硬盘,8192,30720,-73.33%,3.59,瓶颈态,"虽为主流技术, 但配置不足(-73.3% < -30%), 存在性能短板"
昆明市融媒体中心“2025年超融合服务器及UPS采购”询价.docx,内存,256,64,300.00%,1.13,冗余态,"虽为主流技术, 但超出宽限阈值(+300.0% > +30%), 存在效能溢出"
昆明市融媒体中心“2025年超融合服务器及UPS采购”询价.docx,硬盘,512000,30720,1566.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
衢州职业技术学院人工智能算力服务器项目的询价公告.docx,CPU,48,24,100.00%,2.18,冗余态,"虽为主流技术, 但超出宽限阈值(+100.0% > +30%), 存在效能溢出"
衢州职业技术学院人工智能算力服务器项目的询价公告.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
衢州职业技术学院人工智能算力服务器项目的询价公告.docx,硬盘,276480,30720,800.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
金堂县第一人民医院服务器采购项目(二次)询价公告.docx,CPU,16,24,-33.33%,3.06,瓶颈态,"虽为主流技术, 但配置不足(-33.3% < -30%), 存在性能短板"
金堂县第一人民医院服务器采购项目(二次)询价公告.docx,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
金堂县第一人民医院服务器采购项目(二次)询价公告.docx,硬盘,19968,30720,-35.00%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-35.0%)"
辽宁省肿瘤医院数据中心服务器招标公告.docx,CPU,28,24,16.67%,0.22,控标态,"缺乏行业共识(Lift=0.22<0.7), 疑似排他性参数"
辽宁省肿瘤医院数据中心服务器招标公告.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
辽宁省肿瘤医院数据中心服务器招标公告.docx,硬盘,69632,30720,126.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
青海省妇女儿童医院服务器及防火墙采购项目.docx,CPU,18,24,-25.00%,0.44,控标态,"缺乏行业共识(Lift=0.44<0.7), 疑似排他性参数"
青海省妇女儿童医院服务器及防火墙采购项目.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
青海省妇女儿童医院服务器及防火墙采购项目.docx,硬盘,6144,30720,-80.00%,1.8,瓶颈态,"虽为主流技术, 但配置不足(-80.0% < -30%), 存在性能短板"
阜新市公安局视综平台一体化建设服务器（第二次）招标.docx,CPU,24,24,0.00%,1.97,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
阜新市公安局视综平台一体化建设服务器（第二次）招标.docx,内存,480,64,650.00%,1.32,冗余态,"虽为主流技术, 但超出宽限阈值(+650.0% > +30%), 存在效能溢出"
阜新市公安局视综平台一体化建设服务器（第二次）招标.docx,硬盘,49152,30720,60.00%,1.2,冗余态,"虽为主流技术, 但超出宽限阈值(+60.0% > +30%), 存在效能溢出"
镇江2025-2026年度人社“服务器及存储系统维保”采购公告.docx,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
镇江2025-2026年度人社“服务器及存储系统维保”采购公告.docx,内存,300,64,368.75%,0.19,控标态,"缺乏行业共识(Lift=0.19<0.7), 疑似排他性参数"
镇江2025-2026年度人社“服务器及存储系统维保”采购公告.docx,硬盘,4960,30720,-83.85%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-83.9%)"
首都医科大学附属北京儿童医院2025年度服务器及配套设备采购项目采购需求.docx,CPU,24,24,0.00%,1.97,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
首都医科大学附属北京儿童医院2025年度服务器及配套设备采购项目采购需求.docx,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
首都医科大学附属北京儿童医院2025年度服务器及配套设备采购项目采购需求.docx,硬盘,320512,30720,943.33%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
连云港市政务云（信创）建设项目（服务器、操作系统、数据库）采购公告.docx,内存,32,64,-50.00%,4.32,瓶颈态,"虽为主流技术, 但配置不足(-50.0% < -30%), 存在性能短板"
连云港市政务云（信创）建设项目（服务器、操作系统、数据库）采购公告.docx,硬盘,196608,30720,540.00%,1.8,冗余态,"虽为主流技术, 但超出宽限阈值(+540.0% > +30%), 存在效能溢出"
浙江音乐学院信创电脑、服务器及数据库采购项目采购文件.docx,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
浙江音乐学院信创电脑、服务器及数据库采购项目采购文件.docx,内存,16,64,-75.00%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-75.0% < -30%), 存在性能短板"
浙江音乐学院信创电脑、服务器及数据库采购项目采购文件.docx,硬盘,81920,30720,166.67%,3.59,冗余态,"虽为主流技术, 但超出宽限阈值(+166.7% > +30%), 存在效能溢出"
中华人民共和国广州海关AI算力服务器采购项目采购文件.pdf,CPU,48,24,100.00%,2.18,冗余态,"虽为主流技术, 但超出宽限阈值(+100.0% > +30%), 存在效能溢出"
中华人民共和国广州海关AI算力服务器采购项目采购文件.pdf,内存,200,64,212.50%,0.56,控标态,"缺乏行业共识(Lift=0.56<0.7), 疑似排他性参数"
中华人民共和国广州海关AI算力服务器采购项目采购文件.pdf,硬盘,286720,30720,833.33%,2.39,冗余态,"虽为主流技术, 但超出宽限阈值(+833.3% > +30%), 存在效能溢出"
中国科学技术大学GPU服务器节点公开招标采购需求（GPU服务器节点）.pdf,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
中国科学技术大学GPU服务器节点公开招标采购需求（GPU服务器节点）.pdf,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
中国科学技术大学GPU服务器节点公开招标采购需求（GPU服务器节点）.pdf,硬盘,319488,30720,940.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
中国医学科学院皮肤病医院服务器采购项目采购文件.pdf,CPU,4,24,-83.33%,1.97,瓶颈态,"虽为主流技术, 但配置不足(-83.3% < -30%), 存在性能短板"
中国医学科学院皮肤病医院服务器采购项目采购文件.pdf,内存,1024,64,1500.00%,0.75,冗余态,"虽为主流技术, 但超出宽限阈值(+1500.0% > +30%), 存在效能溢出"
中国医学科学院皮肤病医院服务器采购项目采购文件.pdf,硬盘,1024,30720,-96.67%,1.2,瓶颈态,"虽为主流技术, 但配置不足(-96.7% < -30%), 存在性能短板"
中国医学科学院阜外医院服务器采购项目采购文件.pdf,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
中国医学科学院阜外医院服务器采购项目采购文件.pdf,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
中国医学科学院阜外医院服务器采购项目采购文件.pdf,硬盘,3932,30720,-87.20%,1.8,瓶颈态,"虽为主流技术, 但配置不足(-87.2% < -30%), 存在性能短板"
中国科学院物理研究所GPU高性能服务器采购项目公开招标.pdf,CPU,48,24,100.00%,2.18,冗余态,"虽为主流技术, 但超出宽限阈值(+100.0% > +30%), 存在效能溢出"
中国科学院物理研究所GPU高性能服务器采购项目公开招标.pdf,内存,960,64,1400.00%,1.69,冗余态,"虽为主流技术, 但超出宽限阈值(+1400.0% > +30%), 存在效能溢出"
中国科学院物理研究所GPU高性能服务器采购项目公开招标.pdf,硬盘,360448,30720,1073.33%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
中国合格评定国家认可中心服务器、交换设备及相关软件采购项目采购文件.pdf,CPU,5,24,-79.17%,0.44,瓶颈态,"非主流低配(Lift=0.44), 且显著低于基准(-79.2%)"
内江市第一人民医院2025年服务器采购项目.pdf,CPU,32,24,33.33%,5.68,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
内江市第一人民医院2025年服务器采购项目.pdf,内存,1024,64,1500.00%,0.75,冗余态,"虽为主流技术, 但超出宽限阈值(+1500.0% > +30%), 存在效能溢出"
内江市第一人民医院2025年服务器采购项目.pdf,硬盘,235520,30720,666.67%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
内江市公安局公安网服务器采购需求.pdf,CPU,24,24,0.00%,1.97,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
内江市公安局公安网服务器采购需求.pdf,内存,512,64,700.00%,1.88,冗余态,"虽为主流技术, 但超出宽限阈值(+700.0% > +30%), 存在效能溢出"
内江市公安局公安网服务器采购需求.pdf,硬盘,196608,30720,540.00%,1.8,冗余态,"虽为主流技术, 但超出宽限阈值(+540.0% > +30%), 存在效能溢出"
北京市公安局服务器、操作系统、数据库、工作站采购项目招标采购需求.docx,CPU,4,24,-83.33%,1.97,瓶颈态,"虽为主流技术, 但配置不足(-83.3% < -30%), 存在性能短板"
北京市公安局服务器、操作系统、数据库、工作站采购项目招标采购需求.docx,内存,480,64,650.00%,1.32,冗余态,"虽为主流技术, 但超出宽限阈值(+650.0% > +30%), 存在效能溢出"
北京市公安局服务器、操作系统、数据库、工作站采购项目招标采购需求.docx,硬盘,286720,30720,833.33%,2.39,冗余态,"虽为主流技术, 但超出宽限阈值(+833.3% > +30%), 存在效能溢出"
中国科学院微生物研究所数据存储及计算服务器采购项目采购文件.pdf,CPU,7,24,-70.83%,0.44,瓶颈态,"非主流低配(Lift=0.44), 且显著低于基准(-70.8%)"
中国科学院微生物研究所数据存储及计算服务器采购项目采购文件.pdf,内存,480,64,650.00%,1.32,冗余态,"虽为主流技术, 但超出宽限阈值(+650.0% > +30%), 存在效能溢出"
中国科学院微生物研究所数据存储及计算服务器采购项目采购文件.pdf,硬盘,184320,30720,500.00%,0.6,控标态,"缺乏行业共识(Lift=0.60<0.7), 疑似排他性参数"
中国科学院文献情报中心GPU服务器采购项目采购文件.pdf,CPU,80,24,233.33%,0.22,控标态,"缺乏行业共识(Lift=0.22<0.7), 疑似排他性参数"
中国科学院文献情报中心GPU服务器采购项目采购文件.pdf,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
中国科学院文献情报中心GPU服务器采购项目采购文件.pdf,硬盘,3932,30720,-87.20%,1.8,瓶颈态,"虽为主流技术, 但配置不足(-87.2% < -30%), 存在性能短板"
临泉县公安局交警大队服务器采购项目询价公告.pdf,CPU,8,24,-66.67%,2.62,瓶颈态,"虽为主流技术, 但配置不足(-66.7% < -30%), 存在性能短板"
临泉县公安局交警大队服务器采购项目询价公告.pdf,内存,64,64,0.00%,4.7,理想态,"符合行业主流, 数值在容忍区间内(+0.0%)"
临泉县公安局交警大队服务器采购项目询价公告.pdf,硬盘,4096,30720,-86.67%,4.19,瓶颈态,"虽为主流技术, 但配置不足(-86.7% < -30%), 存在性能短板"
亳州学院虚拟机服务器扩容项目.pdf,内存,3000,64,4587.50%,0.19,控标态,"缺乏行业共识(Lift=0.19<0.7), 疑似排他性参数"
亳州学院虚拟机服务器扩容项目.pdf,硬盘,40960,30720,33.33%,2.99,冗余态,"虽为主流技术, 但超出宽限阈值(+33.3% > +30%), 存在效能溢出"
北京大学第三医院GPU服务器设备采购项目采购文件.pdf,CPU,7,24,-70.83%,0.44,瓶颈态,"非主流低配(Lift=0.44), 且显著低于基准(-70.8%)"
北京大学第三医院GPU服务器设备采购项目采购文件.pdf,内存,25,64,-60.94%,1.88,瓶颈态,"虽为主流技术, 但配置不足(-60.9% < -30%), 存在性能短板"
北京大学第三医院GPU服务器设备采购项目采购文件.pdf,硬盘,1536,30720,-95.00%,0.6,瓶颈态,"非主流低配(Lift=0.60), 且显著低于基准(-95.0%)"
内蒙古自治区第二林业和草原监测规划院服务器(三次)竞争性谈判公告.pdf,CPU,96,24,300.00%,0.66,控标态,"缺乏行业共识(Lift=0.66<0.7), 疑似排他性参数"
内蒙古自治区第二林业和草原监测规划院服务器(三次)竞争性谈判公告.pdf,内存,48,64,-25.00%,0.75,理想态,"符合行业主流, 数值在容忍区间内(-25.0%)"
